judul,kategori,tanggal_upload,waktu_upload,link_berita
"Profil Prince Patrick Kallon, Lahir dari Keluarga Pesepak Bola",BOLA,29/01/2022, 20:20 WIB,https://www.kompas.com/sports/read/2022/01/29/20200068/profil-prince-patrick-kallon-lahir-dari-keluarga-pesepak-bola
"Treasure Bay Bintan: Jam Buka, Harga Tiket, Wahana, dan Penginapan Terdekat",REGIONAL,29/01/2022, 20:19 WIB,https://medan.kompas.com/read/2022/01/29/201935178/treasure-bay-bintan-jam-buka-harga-tiket-wahana-dan-penginapan-terdekat
Cara Mudah Membuat Pupuk NPK Organik Cair dari Bahan Sederhana,HOMEY,29/01/2022, 20:17 WIB,https://www.kompas.com/homey/read/2022/01/29/201700976/cara-mudah-membuat-pupuk-npk-organik-cair-dari-bahan-sederhana
Mau Bikin Hobi Kamu Jadi Bisnis yang Menguntungkan? Simak 3 Tips Ini,MONEY,29/01/2022, 20:15 WIB,https://money.kompas.com/read/2022/01/29/201500826/mau-bikin-hobi-kamu-jadi-bisnis-yang-menguntungkan-simak-3-tips-ini
"Pesan Menteri ATR untuk Penerima Ganti Rugi Tol: Petani yang Kena, Beli Sawah Baru",REGIONAL,29/01/2022, 20:13 WIB,https://yogyakarta.kompas.com/read/2022/01/29/201355478/pesan-menteri-atr-untuk-penerima-ganti-rugi-tol-petani-yang-kena-beli
"Barongsai: Sejarah, Makna, dan Tarian  ",REGIONAL,29/01/2022, 20:12 WIB,https://regional.kompas.com/read/2022/01/29/201213178/barongsai-sejarah-makna-dan-tarian
"Update 29 Januari: 383.401 Spesimen Diperiksa, Positivity Rate dengan PCR 20,33 Persen",NEWS,29/01/2022, 20:11 WIB,https://nasional.kompas.com/read/2022/01/29/20114071/update-29-januari-383401-spesimen-diperiksa-positivity-rate-dengan-pcr-2033
"Hasil Persebaya Vs PSS: Menang 1-0, Bajul Ijo Gusur Bali United dan Persib",BOLA,29/01/2022, 20:11 WIB,https://bola.kompas.com/read/2022/01/29/20111638/hasil-persebaya-vs-pss-menang-1-0-bajul-ijo-gusur-bali-united-dan-persib
"Tips Bikin Usaha Kuliner untuk Mahasiswa, Harus Paham Prioritas",FOOD,29/01/2022, 20:11 WIB,https://www.kompas.com/food/read/2022/01/29/201100675/tips-bikin-usaha-kuliner-untuk-mahasiswa-harus-paham-prioritas
Siapa KKB Papua dan Apa Tujuannya?,REGIONAL,29/01/2022, 20:10 WIB,https://regional.kompas.com/read/2022/01/29/201038578/siapa-kkb-papua-dan-apa-tujuannya
Video: Unboxing dan Kesan Pertama Menggenggam Samsung Galaxy A03,TEKNO,29/01/2022, 20:10 WIB,https://tekno.kompas.com/read/2022/01/29/20100047/video--unboxing-dan-kesan-pertama-menggenggam-samsung-galaxy-a03
Cara Mudah Membasmi Kutu Kasur,WIKEN,29/01/2022, 20:10 WIB,https://www.kompas.com/wiken/read/2022/01/29/201000081/cara-mudah-membasmi-kutu-kasur
"Hadirkan Promo Besar-besaran, Atome Gandeng Matahari Department Store",ADVERTORIAL,29/01/2022, 20:08 WIB,https://biz.kompas.com/read/2022/01/29/200848328/hadirkan-promo-besar-besaran-atome-gandeng-matahari-department-store
8 Tips Mudah Atasi Overpacking Saat Berpergian ,TRAVEL,29/01/2022, 20:08 WIB,https://travel.kompas.com/read/2022/01/29/200800027/8-tips-mudah-atasi-overpacking-saat-berpergian-
Komnas HAM: Pria Berwajah Lebam yang Viral adalah Penghuni Kerangkeng,REGIONAL,29/01/2022, 20:07 WIB,https://medan.kompas.com/read/2022/01/29/200722078/komnas-ham-pria-berwajah-lebam-yang-viral-adalah-penghuni-kerangkeng
"Otak Kucing Disebut Menyusut Jauh Lebih Kecil daripada Nenek Moyangnya, Kok Bisa?",TREN,29/01/2022, 20:04 WIB,https://www.kompas.com/tren/read/2022/01/29/200400065/otak-kucing-disebut-menyusut-jauh-lebih-kecil-daripada-nenek-moyangnya-kok
 6 Bahan Alami yang Bisa Diolah Menjadi Pupuk Tanaman,WIKEN,29/01/2022, 20:03 WIB,https://www.kompas.com/wiken/read/2022/01/29/200305581/6-bahan-alami-yang-bisa-diolah-menjadi-pupuk-tanaman
"Suku Bunga KPR Bank OCBC NISP Tak Berubah, Tetap 8,25 Persen",PROPERTI,29/01/2022, 20:00 WIB,https://www.kompas.com/properti/read/2022/01/29/200000821/suku-bunga-kpr-bank-ocbc-nisp-tak-berubah-tetap-8-25-persen
"Waspada, Ini Gejala OCD pada Anak",SAINS,29/01/2022, 20:00 WIB,https://www.kompas.com/sains/read/2022/01/29/200000723/waspada-ini-gejala-ocd-pada-anak
Inggris Sebut Subtipe Omicron BA.2 Lebih Menular ketimbang BA.1,GLOBAL,29/01/2022, 20:00 WIB,https://www.kompas.com/global/read/2022/01/29/200000870/inggris-sebut-subtipe-omicron-ba.2-lebih-menular-ketimbang-ba.1
Mengenal Gejala dan Penyebab Kanker Tenggorokan,HEALTH,29/01/2022, 20:00 WIB,https://health.kompas.com/read/2022/01/29/200000268/mengenal-gejala-dan-penyebab-kanker-tenggorokan
"Tiru Latihan Ronaldo, Menpora Sebut Atlet Indonesia Bisa Mendunia",BOLA,29/01/2022, 20:00 WIB,https://bola.kompas.com/read/2022/01/29/20000068/tiru-latihan-ronaldo-menpora-sebut-atlet-indonesia-bisa-mendunia
"Kabar Duka, Kekasih Rohimah Meninggal Dunia",HYPE,29/01/2022, 19:58 WIB,https://www.kompas.com/hype/read/2022/01/29/195811366/kabar-duka-kekasih-rohimah-meninggal-dunia
Resep Pesmol Salmon Seperti Bikinan Peserta MasterChef Indonesia,FOOD,29/01/2022, 19:55 WIB,https://www.kompas.com/food/read/2022/01/29/195536875/resep-pesmol-salmon-seperti-bikinan-peserta-masterchef-indonesia
Pemimpin.id Ajak Orang Muda Berbagi Peran untuk Membawa Perubahan,EDUKASI,29/01/2022, 19:52 WIB,https://www.kompas.com/edu/read/2022/01/29/195243171/pemimpinid-ajak-orang-muda-berbagi-peran-untuk-membawa-perubahan
Lana Condor Resmi Bertunangan dengan Anthony De La Torre,HYPE,29/01/2022, 19:51 WIB,https://www.kompas.com/hype/read/2022/01/29/195118866/lana-condor-resmi-bertunangan-dengan-anthony-de-la-torre
"Direlokasi ke Teras Malioboro Satu, PKL Masih Simpan Kekhawatiran ",REGIONAL,29/01/2022, 19:50 WIB,https://yogyakarta.kompas.com/read/2022/01/29/195047078/direlokasi-ke-teras-malioboro-satu-pkl-masih-simpan-kekhawatiran
"Tak Hanya Indonesia, Ini 7 Negara yang Pernah Memindahkan Ibu Kotanya",TREN,29/01/2022, 19:49 WIB,https://www.kompas.com/tren/read/2022/01/29/194926465/tak-hanya-indonesia-ini-7-negara-yang-pernah-memindahkan-ibu-kotanya
Ridwan Kamil Puji Anies Baswedan soal Stadion JIS,NEWS,29/01/2022, 19:48 WIB,https://nasional.kompas.com/read/2022/01/29/19484861/ridwan-kamil-puji-anies-baswedan-soal-stadion-jis
"Rayakan Usia 73 Tahun, Jaya Suprana Gelar Konser Cinta Indonesia",HYPE,29/01/2022, 19:46 WIB,https://www.kompas.com/hype/read/2022/01/29/194649566/rayakan-usia-73-tahun-jaya-suprana-gelar-konser-cinta-indonesia
"Jenis, Syarat, dan Cara Membuat Kartu Kredit BRI",MONEY,29/01/2022, 19:41 WIB,https://money.kompas.com/read/2022/01/29/194100326/jenis-syarat-dan-cara-membuat-kartu-kredit-bri
"Termasuk Persib, 5 Tim Liga 1 Laporkan Kasus Positif Covid-19",BOLA,29/01/2022, 19:40 WIB,https://bola.kompas.com/read/2022/01/29/19400028/termasuk-persib-5-tim-liga-1-laporkan-kasus-positif-covid-19
"Tiga Video Musik NOAH yang Di-remake Masuk Jajaran Trending, Ariel: Satu Tim Senang",HYPE,29/01/2022, 19:40 WIB,https://www.kompas.com/hype/read/2022/01/29/194000766/tiga-video-musik-noah-yang-di-remake-masuk-jajaran-trending-ariel--satu-tim
Mau Investasi Saham? Simak Beberapa Keuntungan dan Risikonya,MONEY,29/01/2022, 19:35 WIB,https://money.kompas.com/read/2022/01/29/193548626/mau-investasi-saham-simak-beberapa-keuntungan-dan-risikonya
